DealerMake,DealerState,DealerCity,DealerZipCode,DealerName,,,,
Chevrolet,CA,Chowchilla,93610,Steves Chevrolet of Chowchilla,,,,
Chevrolet,CA,Carlsabad,92008,Weseloh Chevrolet,,,,
Chevrolet,CA,Colfax,95713,Winner Chevrolet,,,,
Nissan,CA,Antioch,94509,Antioch Nissan,,,,
Nissan,CA,Carson ,90745,Carson Nissan,,,,
Nissan,CA,Chico,95926,Chico Nisan,,,,
Nissan,CA,Burlingame,94010,Nissan of Burlingame,,,,
Nissan,CA,Costa Mesa,92626,Orange Coast Nissan,,,,
Nissan,CA,Barstow,92311,Soutar's Ford Lincoln Nissan,,,,
Nissan,CA,Alhambra,91801,Alhambra Nissan,,,,
Nissan,CA,Buena Park,90621,Buena Park Nissan,,,,
Nissan,CA,Corona,92882,Larry H Miller Nissan coronoa,,,,
Nissan,CA,Colma,94014,Nissan of Serramonte,,,,
Nissan,CA,City of Industry,91748,Punte Hills Nissan,,,,
Nissan,CA,Concord,94520,Autocom Nissan of Concord,,,,
Nissan,CA,Cerritos,90703,Cerritos Nisan,,,,
Nissan,CA,Clovis,93612,Lithia Nissan of Clovis,,,,
Nissan,CA,Chula Vista,91911,Mossy Nissan Chula Vista,,,,
Nissan,CA,Bakersfield,93313,Nissan of Bakersfield,,,,
Nissan,CA,Cathedral City,92234,Palm Springs Nissan,,,,
